執行日期,科目名稱,摘要,受款單位, 金額 
111/12/30,國民及學前教育行政及督導,111學年度獎勵無償提供場地、設施及設備辦理職場互助教保服務中心第1期款,國防醫學院三軍總醫院松山分院,"50,000"
111/12/30,國民及學前教育行政及督導,110學年度調整教師授課節數鐘點費調增差額,國立臺北教育大學附設實小,"4,656"
111/12/30,國民及學前教育行政及督導,110學年度調整教師授課節數鐘點費調增差額,國立嘉義大學附設實小,"1,280"
111/12/30,國民及學前教育行政及督導,110學年度調整教師授課節數鐘點費調增差額,國立高雄師範大學附屬高級中學,"29,148"
111/12/30,國民及學前教育行政及督導,110學年度調整教師授課節數鐘點費調增差額,國立高雄餐旅大學附屬餐旅高級中等學校,"14,400"
111/12/30,國民及學前教育行政及督導,111學年度國立高級中等學校聘任資源班編制外代理教師計畫經費,國立基隆高級商工職業學校,"511,390"
111/12/30,國民及學前教育行政及督導,111學年度高級中等學校開設本土語文(閩東、閩南、客語)課程之開課經費補助,國立新化高級中學,"33,600"
111/12/30,國民及學前教育行政及督導,111學年度高級中等學校開設本土語文(閩東、閩南、客語)課程之開課經費補助,國立內埔高級農工職業學校,"201,600"
111/12/30,國民及學前教育行政及督導,111學年度高級中等學校開設本土語文(閩東、閩南、客語)課程之開課經費補助,國立宜蘭高級中學,"42,000"
111/12/30,國民及學前教育行政及督導,111學年度高級中等學校開設本土語文(閩東、閩南、客語)課程之開課經費補助,國立善化高級中學,"25,200"
111/12/30,國民及學前教育行政及督導,111學年度高級中等學校開設本土語文(閩東、閩南、客語)課程之開課經費補助,國立台南第二高級中學,"50,400"
111/12/30,國民及學前教育行政及督導,111學年度高級中等學校開設本土語文(閩東、閩南、客語)課程之開課經費補助,國立竹南高級中學,"16,800"
111/12/30,國民及學前教育行政及督導,111學年度高級中等學校開設本土語文(閩東、閩南、客語)課程之開課經費補助,國立秀水高級工業職業學校,"67,200"
111/12/30,國民及學前教育行政及督導,111學年度高級中等學校開設本土語文(閩東、閩南、客語)課程之開課經費補助,國立草屯高級商工職業學校,"84,000"
111/12/30,國民及學前教育行政及督導,111學年度高級中等學校開設本土語文(閩東、閩南、客語)課程之開課經費補助,國立西螺高級農工職業學校,"117,600"
111/12/30,國民及學前教育行政及督導,111學年度高級中等學校開設本土語文(閩東、閩南、客語)課程之開課經費補助,國立蘭陽女子高級中學,"25,200"
111/12/30,國民及學前教育行政及督導,111學年度高級中等學校開設本土語文(閩東、閩南、客語)課程之開課經費補助,國立新竹科學園區實驗高級中等學校,"33,600"
111/12/30,國民及學前教育行政及督導,111學年度高級中等學校開設本土語文(閩東、閩南、客語)課程之開課經費補助,國立鳳山高級商工職業學校,"117,600"
111/12/30,國民及學前教育行政及督導,111學年度高級中等學校開設本土語文(閩東、閩南、客語)課程之開課經費補助,國立曾文高級農工職業學校,"33,600"
111/12/30,國民及學前教育行政及督導,111學年度高級中等學校開設本土語文(閩東、閩南、客語)課程之開課經費補助,國立台南家齊高級中學,"42,000"
111/12/30,國民及學前教育行政及督導,111學年度高級中等學校開設本土語文(閩東、閩南、客語)課程之開課經費補助,國立東石高級中學,"25,200"
111/12/30,國民及學前教育行政及督導,111學年度高級中等學校開設本土語文(閩東、閩南、客語)課程之開課經費補助,國立宜蘭特殊教育學校,"8,400"
111/12/30,國民及學前教育行政及督導,111學年度高級中等學校開設本土語文(閩東、閩南、客語)課程之開課經費補助,國立華南高級商業職業學校,"235,200"
111/12/30,國民及學前教育行政及督導,111學年度高級中等學校開設本土語文(閩東、閩南、客語)課程之開課經費補助,國立嘉義高級商業職業學校,"126,000"
111/12/30,國民及學前教育行政及督導,111學年度高級中等學校開設本土語文(閩東、閩南、客語)課程之開課經費補助,國立南科國際實驗高級中學,"16,800"
111/12/30,國民及學前教育行政及督導,111學年度高級中等學校開設本土語文(閩東、閩南、客語)課程之開課經費補助,國立嘉義高級家事職業學校,"16,800"
111/12/30,國民及學前教育行政及督導,111學年度高級中等學校開設本土語文(閩東、閩南、客語)課程之開課經費補助,國立臺灣海洋大學附屬基隆海事高級中等學校,"84,000"
111/12/30,國民及學前教育行政及督導,111學年度高級中等學校開設本土語文(閩東、閩南、客語)課程之開課經費補助,國立嘉義高級中學,"67,200"
111/12/30,國民及學前教育行政及督導,111學年度高級中等學校開設本土語文(閩東、閩南、客語)課程之開課經費補助,國立中興大學附屬高級中學,"42,000"
111/12/30,國民及學前教育行政及督導,111學年度高級中等學校開設本土語文(閩東、閩南、客語)課程之開課經費補助,國立基隆高級中學,"184,800"
111/12/30,國民及學前教育行政及督導,111學年度高級中等學校開設本土語文(閩東、閩南、客語)課程之開課經費補助,國立玉里高級中學,"151,200"
111/12/30,國民及學前教育行政及督導,111學年度高級中等學校開設本土語文(閩東、閩南、客語)課程之開課經費補助,國立基隆女子高級中學,"58,800"
111/12/30,國民及學前教育行政及督導,111學年度高級中等學校開設本土語文(閩東、閩南、客語)課程之開課經費補助,國立華僑高級中學,"67,200"
111/12/30,國民及學前教育行政及督導,111學年度高級中等學校開設本土語文(閩東、閩南、客語)課程之開課經費補助,國立臺南大學附屬啟聰學校,"33,600"
111/12/30,國民及學前教育行政及督導,111學年度高級中等學校開設本土語文(閩東、閩南、客語)課程之開課經費補助,國立二林高級工商職業學校,"25,200"
111/12/30,國民及學前教育行政及督導,111學年度高級中等學校開設本土語文(閩東、閩南、客語)課程之開課經費補助,國立仁愛高級農業職業學校,"16,800"
111/12/30,國民及學前教育行政及督導,111學年度高級中等學校開設本土語文(閩東、閩南、客語)課程之開課經費補助,國立水里高級商工職業學校,"33,600"
111/12/30,國民及學前教育行政及督導,111學年度高級中等學校開設本土語文(閩東、閩南、客語)課程之開課經費補助,國立東港高級海事水產職業學校,"67,200"
111/12/30,國民及學前教育行政及督導,111學年度高級中等學校開設本土語文(閩東、閩南、客語)課程之開課經費補助,國立花蓮高級工業職業學校,"8,400"
111/12/30,國民及學前教育行政及督導,111學年度高級中等學校開設本土語文(閩東、閩南、客語)課程之開課經費補助,國立新竹女子高級中學,"33,600"
111/12/30,國民及學前教育行政及督導,111學年度高級中等學校開設本土語文(閩東、閩南、客語)課程之開課經費補助,國立新竹高級商業職業學校,"8,400"
111/12/30,國民及學前教育行政及督導,111學年度高級中等學校開設本土語文(閩東、閩南、客語)課程之開課經費補助,國立新竹高級工業職業學校,"25,200"
111/12/30,國民及學前教育行政及督導,111學年度高級中等學校開設本土語文(閩東、閩南、客語)課程之開課經費補助,國立台東高級中學,"16,800"
111/12/30,國民及學前教育行政及督導,111學年度高級中等學校開設本土語文(閩東、閩南、客語)課程之開課經費補助,國立鳳新高級中學,"92,400"
111/12/30,國民及學前教育行政及督導,112學年度新設員工子女非營利幼兒園建築物裝修及購置教學設備第2期款,國立清華大學,"382,000"
111/12/30,國民及學前教育行政及督導,110學年度調整教師授課節數鐘點費調增差額,國立南科國際實驗高級中學,"126,753"
111/12/30,國民及學前教育行政及督導,111學年度第1學期公立幼兒園辦理延長照顧服務經費,臺北市政府教育局,"66,192"
111/12/30,國民及學前教育行政及督導,111年臨時約聘僱職業輔導員經費,國立新竹特殊教育學校,"25,248"
111/12/30,國民及學前教育行政及督導,111學年度高級中等學校開設本土語文(閩東、閩南、客語)課程之開課經費(第1期),國立中山大學附屬國光高級中學,"8,400"
111/12/30,國民及學前教育行政及督導,111學年度高級中等學校開設本土語文(閩東、閩南、客語)課程之開課經費(第1期),國立高雄師範大學附屬高級中學,"16,800"
111/12/30,國民及學前教育行政及督導,111學年度高級中等學校開設本土語文(閩東、閩南、客語)課程之開課經費(第1期),國立台南高級海事水產職業學校,"142,800"
111/12/30,國民及學前教育行政及督導,111學年度高級中等學校開設本土語文(閩東、閩南、客語)課程之開課經費(第1期),國立卓蘭高級中等學校,"16,800"
111/12/30,國民及學前教育行政及督導,111學年度高級中等學校開設本土語文(閩東、閩南、客語)課程之開課經費(第1期),國立苑裡高級中學,"67,200"
111/12/30,國民及學前教育行政及督導,111學年度高級中等學校開設本土語文(閩東、閩南、客語)課程之開課經費(第1期),國立新港藝術高級中學,"33,600"
111/12/30,國民及學前教育行政及督導,111學年度高級中等學校開設本土語文(閩東、閩南、客語)課程之開課經費(第1期),國立光復高級商工職業學校,"25,200"
111/12/30,國民及學前教育行政及督導,補助學校聘任資源班編制外代理教師計畫經費,國立北門高級農工職業學校,"858,972"
111/12/30,國民及學前教育行政及督導,補助111學年度身心障礙學生無法自行上下學交通費,國立旗美高級中學,"8,000"
111/12/30,國民及學前教育行政及督導,110學年度第2學期特殊教育教師兼行政每週教學節數調降新增鐘點費差額,國立花蓮特殊教育學校,"11,760"
111/12/30,國民及學前教育行政及督導,111學年度國立特教學校教師兼任行政新增鐘點費,國立雲林特殊教育學校,"430,080"
111/12/30,國民及學前教育行政及督導,111學年度國立特教學校教師兼任行政新增鐘點費,國立花蓮特殊教育學校,"463,680"
111/12/30,國民及學前教育行政及督導,111學年度國立特教學校教師兼任行政新增鐘點費,國立宜蘭特殊教育學校,"332,640"
111/12/30,國民及學前教育行政及督導,補助111學年度身心障礙學生無法自行上下學交通費,國立雲林特殊教育學校,"256,000"
111/12/30,國民及學前教育行政及督導,補助111學年度身心障礙學生無法自行上下學交通費,國立屏東特殊教育學校,"64,000"
111/12/30,國民及學前教育行政及督導,補助111學年度身心障礙學生無法自行上下學交通費,國立花蓮特殊教育學校,"56,000"
111/12/30,國民及學前教育行政及督導,補助111學年度身心障礙學生無法自行上下學交通費,國立政治大學附屬高級中學,"8,000"
111/12/30,國民及學前教育行政及督導,補助111學年度身心障礙學生無法自行上下學交通費,國立中央大學附屬中壢高級中學,"16,000"
111/12/30,國民及學前教育行政及督導,補助111學年度身心障礙學生無法自行上下學交通費,國立竹北高級中學,"24,000"
111/12/30,國民及學前教育行政及督導,補助111學年度身心障礙學生無法自行上下學交通費,國立關西高級中學,"8,000"
111/12/30,國民及學前教育行政及督導,補助111學年度身心障礙學生無法自行上下學交通費,國立中科實驗高級中學,"16,000"
111/12/30,國民及學前教育行政及督導,補助111學年度身心障礙學生無法自行上下學交通費,國立彰化女子高級中學,"16,000"
111/12/30,國民及學前教育行政及督導,補助111學年度身心障礙學生無法自行上下學交通費,國立秀水高級工業職業學校,"16,000"
111/12/30,國民及學前教育行政及督導,補助111學年度身心障礙學生無法自行上下學交通費,國立中興高級中學,"8,000"
111/12/30,國民及學前教育行政及督導,補助111學年度身心障礙學生無法自行上下學交通費,國立埔里高級工業職業學校,"64,000"
111/12/30,國民及學前教育行政及督導,補助111學年度身心障礙學生無法自行上下學交通費,國立北港高級農工職業學校,"8,000"
111/12/30,國民及學前教育行政及督導,補助111學年度身心障礙學生無法自行上下學交通費,國立台南高級工業職業學校,"32,000"
111/12/30,國民及學前教育行政及督導,補助111學年度身心障礙學生無法自行上下學交通費,國立台南高級商業職業學校,"64,000"
111/12/30,國民及學前教育行政及督導,補助111學年度身心障礙學生無法自行上下學交通費,國立台南家齊高級中學,"40,000"
111/12/30,國民及學前教育行政及督導,補助111學年度身心障礙學生無法自行上下學交通費,國立岡山高級農工職業學校,"8,000"
111/12/30,國民及學前教育行政及督導,補助111學年度身心障礙學生無法自行上下學交通費,國立屏東女子高級中學,"24,000"
111/12/30,國民及學前教育行政及督導,補助111學年度身心障礙學生無法自行上下學交通費,國立屏北高級中學,"8,000"
111/12/30,國民及學前教育行政及督導,補助111學年度身心障礙學生無法自行上下學交通費,國立羅東高級中學,"16,000"
111/12/30,國民及學前教育行政及督導,補助111學年度身心障礙學生無法自行上下學交通費,國立宜蘭高級商業職業學校,"16,000"
111/12/30,國民及學前教育行政及督導,補助111學年度身心障礙學生無法自行上下學交通費,國立玉里高級中學,"8,000"
111/12/30,國民及學前教育行政及督導,補助111學年度身心障礙學生無法自行上下學交通費,國立台東高級中學,"8,000"
111/12/30,國民及學前教育行政及督導,111學年度特殊教育研習經費,國立潮州高級中學,"10,000"
111/12/30,國民及學前教育行政及督導,110學年度第2學期特殊教育教師兼行政每週教學節數調降新增鐘點費差額,國立臺南大學附屬啟聰學校,"10,080"
111/12/30,國民及學前教育行政及督導,111學年度第1學期高級中等學校之臺灣手語新增之教師授課鐘點費,國立基隆高級中學,"35,280"
111/12/30,國民及學前教育行政及督導,111學年度第1學期高級中等學校之臺灣手語新增之教師授課鐘點費,國立基隆高級商工職業學校,"52,920"
