年度,序號,行政區,上課地點,上課日期,上課時間,課程名稱,人數
111,198,信義區,"台北市信義區安康里虎林街232巷55號
 (安康里辦公處)",1111104,13:30-16:30,亮麗自拍展現我的美,21
111,199,大同區,"台北市大同區重慶里重慶北路三段347號2樓之2 大龍市場2樓
 (大龍區民活動場所教室)",1111105,09:00-12:00,智慧精準翻譯最即時,17
111,200,士林區,"台北市士林區義信里基河路165號
 (台灣運動休閒產業發展協會)",1111105,14:00-17:00,樂齡手機上網輕鬆學,21
111,201,士林區,"台北市士林區名山里雨聲街68號
 (芝山岩社區發展協會)",1111107,09:00-12:00,台北通讓生活攏會通,25
111,202,南港區,"台北市南港區聯成里東新街77巷29號
 (後山埤文化發展協會)",1111107,09:00-12:00,樂齡手機上網輕鬆學,29
111,203,文山區,"台北市文山區樟腳里恆光街45號7樓703教室
 (樟腳里里辦公室)",1111107,09:00-12:00,台北通讓生活攏會通,13
111,204,萬華區,"台北市萬華區新忠里西藏路125巷7之2號
 (新忠里里辦公室)",1111107,13:30-16:30,樂齡手機上網輕鬆學,10
111,205,南港區,"台北市南港區九如里研究院路2段208號
 (久如社區發展協會)",1111107,13:30-16:30,拍出誘人的美食風味,15
111,206,大安區,"臺北市大安區龍泉里雲和街49號
 (龍泉里里辦公室)",1111107,19:00-21:00,亮麗自拍展現我的美,28
111,207,文山區,"台北市文山區明興里興隆路四段61號
 (明興里里辦公室)",1111108,09:00-12:00,掌握銀髮照護通行證,19
111,208,松山區,"台北市松山區東勢里南京東路四段107號12樓
 (社團法人台北市光鹽關懷發展協會)",1111108,13:00-16:00,美麗寶島逍遙青春遊,32
111,209,中正區,"台北市中正區南福里羅斯福路1段96號11樓
 (財團法人臺北市松年長春社會福利基金會)",1111108,13:00-16:00,亮麗自拍展現我的美,24
111,210,萬華區,"台北市萬華區華江里長順街127號
 (長順區民活動中心)",1111108,13:30-16:30,行動追劇快樂無極限,21
111,211,士林區,"台北市士林區名山里雨聲街68號
 (幸福名山社區發展協會)",1111109,09:00-12:00,智慧精準翻譯最即時,36
111,212,大安區,"台北市大安區福住里永康街47巷10-1號1樓
 (福住里里辦公室)",1111109,09:00-12:00,亮麗自拍展現我的美,21
111,213,北投區,"台北市北投區福興里自強街5巷22號
 (福興社區發展協會)",1111109,09:00-12:00,掌握銀髮照護通行證,21
111,214,北投區,"台北市北投區泉源里東昇路80號
 (頂湖活動中心)",1111109,13:00-16:00,網路識讀安全自保術,22
111,215,中山區,"台北市中山區朱園里松江路25巷9號B1
 (朱園里里辦公室)",1111110,14:00-17:00,懷念老歌金曲開心聽,21
111,216,萬華區,"台北市萬華區雙園里興寧街70號
 (財團法人天主教聖母聖心會萬華小德蘭堂社區照顧關懷據點巷弄長照站)",1111111,09:00-12:00,懷念老歌金曲開心聽,20
111,217,信義區,"台北市信義區雙和里吳興街284巷24弄12號
(雙和社區發展協會)",1111111,13:30-16:30,樂齡手機上網輕鬆學,13
